Esmaspäev,Monday,Понедельник
Teisipäev,Tuesday,Вторник
Kolmapäev,Wednesday,Среда
Neljapäev,Thursday,Четверг
Reede,Friday,Пятница
1. veerand,1st academic quarter,1-я четверть
2. veerand,2nd academic quarter,2-я четверть
2017/2018 õppeaasta,Academic year 2017/2018,2017/2018 учебный год
3. veerand,3rd academic quarter,3-я четверть
4. veerand,4th academic quarter,4-я четверть
Aastaaruanded,Annual reports,Годовые отчеты
Aastad,Years,Года
Arengukava,Development plan,План развития
Asukoht,Location,Расположение
Avaleht,Homepage,Стартовая страница
Avalikud (teenused),Public Services,Публичные (услуги)
Avatud uste päev,Open house days,День открытых дверей
Broneeri,Book,Забронируйте
Eeldus,Prerequisite,Предварительное условие
Ees- ja perekonnanimi,First and surname,Имя и фамилия
E-kursused,E-courses,Электронные курсы
E-mail,E-mail,Электронная почта
Eriala/Erialad,Curriculum,Специальность/Специальности
Erialad haridusnõudeta,Curriculums without educational requirement,Специальности без требования о наличии образования
Erialad keskhariduse baasil,Curriculums based on secondary education,Специальности на базе среднего образования
Erialad kutsekeskharidusõppel,Curriculums based on pre-vocational studies,Специальности среднего профессионального обучения
Erialad põhihariduse baasil,Curriculums based on basic education,Специальности на базе общего образования
Erialad töökohapõhisel õppel,Curriculums on work-based studies,Специальности профессионального обучения на месте работы
Ettevalmistuskursused,Preparatory courses,Подготовительные курсы
Ettevõtjale (teenused),Services for Entrepreneur,Для предпринимателей (услуги)
Galerii,Gallery,Галерея
Gümnasisti vari,Student shadow,«Тень» гимназиста
Hindamine,Assessment,Оценивание
Hinde kujunemine,Rating,Формирование оценки
Hoolekogu,Board of trustees,Попечительский совет
Huviringid,Hobby Groups,Кружки по интересам
Huvitavat lugemist,Interesting reads,Увлекательного чтения
Huvitegevus,Hobby activity,Деятельность по интересам
Huvitegevuse kalender,Events calendar,Календарь деятельности по интересам
Huvitegevused,Hobby activities,Деятельность по интересам
Jaga,Share,Поделиться
Juhendaja,Advisor,Руководитель
Juhtkond,Management,Руководство
Kaart,Map,Карта
Kasutatav õppekirjandus,Literature Used,Используемая учебная литература
Kaugõpe,Distance learning,Заочное обучение
Kell,Time,Время
Kevadsemester,Spring semester,Весенний семестр
Kodukord,Rules of Procedure,Внутренний распорядок
Koht,Location,Место
Konsultatsiooniajad,Consultation times,Время консультаций
Kontakt,Contact information,Контакт
Kooli sümboolika,Brand and Logo,Школьная символика
Kooli väljaanded,Publications,Школьные издания
Koolibuss,School bus,Школьный автобус
Koolibussi sõidugraafik,School bus timetable,График движения школьного автобуса
Koolielu,Student Life,Школьная жизнь
Koolisisesed (teenused),Internal Services,Внутришкольные (услуги)
Koolitoit,School meals,Школьное питание
Koolitused,Trainings,Тренинги
Koostöö,Collaboration,Сотрудничество
Koostööpartnerid,Collaboration partners,Партнеры по сотрудничеству
Kursuse algus,Course start,Начало курса
Kutseeksamid,Certification exams,Квалификационные экзамены
Kõik galeriid,All galleries,Все галереи
Kõik koolitused,All trainings,Все тренинги
Kõik lood,All stories,Все истории
Kõik teenused,All services,Все услуги
Kõik uudised,All news,Все новости
Laktoosivaba,Lactose free,Без лактозы
Liitun kooli e-maili listiga,Join Our E-mail List,Подписаться на электронную рассылку школы
Lisa kalendrisse,Add to the calendar,Добавить в календарь
Loe pikemat kirjeldust,Read description,Читать подробное описание
Lõputöö,Final thesis,Выпускная работа
Lühikirjeldus,Description,Краткое описание
Maht,Volume,Объем
Maja avatud E-R 8-17,Doors are open  Mon-Fr 08:00 - 17:00,Здание открыто Пн–Пт 8:00–17:00
Majajuht,Building Guide,Указатель по зданию
Majutus,Accommodation,Проживание
Meie lood,Our stories,Наши истории
Märgitud väljad on kohustuslikud,Marked fields are required,Отмеченные поля обязательны для заполнения
Märkused,Notes,Примечания
Nõustamine,Counselling,Консультирование
Nädalamenüü,Weekly menu,Недельное меню
Näita rohkem,Show more,Подробнее
Olulised kontaktid,Important contacts,Важные контакты
Otsi,Search,Поиск
Parkimine,Parking,Парковка
Peahoone,Main building,Главное здание
Praktika,Internship,Практика
Põhimäärus,Statutes,Устав
Põhiväärtused,Core values,Высшие ценности
Raamatukogu,Library,Библиотека
Registreeri valikainesse,Register to elective subjects,Зарегистрируйтесь на посещение предмета на выбор
Ruum,Room,Кабинет
Saada,Send,Отправить
Sihtgrupp,Target group,Целевая группа
Sinu e-mail,Your e-mail,Ваш адрес электронной почты
Sinu nimi,Your name,Ваше имя
Sisseastumine,Admission,Поступление
Sisukaart,Sitemap,Карта содержания
Sport,Sports,Спорт
Sportimisvõimalused,Sport facilities,Возможности для занятий спортом
Sõnum,Message,Сообщение
Sügissemester,Autumn semester,Осенний семестр
Sündmuste kalender,Event calendar,Календарь событий
Taimetoit,Vegetarian food,Вегетарианская пища
Teenused,Services,Услуги
Tellitavad koolitused,Ordered trainings,Заказные тренинги
Tervisekabinet,Health services,Медпункт
Toetused,Scholarships,Пособия
Toitlustamine,Catering,Питание
Traditsioonid,Traditions,Традиции
Transport,Transport,Транспорт
Tudengi vari,Student shadow,«Тень» студента
Tunnid (koolitunnid),Lessons,Уроки (школьные уроки)
Tunniplaan,Timetable,Расписание
Tunnustused,Recognitions,Почетное признание
Täiendusõpe,Continuing education,Повышение квалификации
Täiendusõppe toetused,Training Scholarships,Пособия для повышения квалификации
Töökohapõhine õpe,Work-based studies,Профессиональное обучение на месте работы
Tööpakkumised,Vacancies,Предложения работы
Uue õppuri meelespea,Student guide,Памятка новичка
Uurimustöö,Research,Научно-исследовательская работа
Vabaained,Elective courses,Факультативные предметы
Vaheajad,Breaks,Каникулы
Vajalikud dokumendid,Required documents,Необходимые документы
Valdkonnad,Curriculum,Области деятельности
Vali kuupäev,Select date,Выберите число
Vali kõik,Select all,Выбрать все
Valikained,Elective subjects,Предмет на выбор
Vastuvõtt,Admission,Прием
Vastuvõtu ajakava,Admission schedule,График приема
Vastuvõtu tingimused ja kord,Admission terms and procedure,Условия и порядок приема
Veel valikuid,More options,Дополнительные опции
Vilistlased,Graduates,Выпускники
Virtuaaltuur,Virtual tour,Виртуальный тур
VÕTA (Varasemate õpingute ja töökogemuse arvestamine),APEL (Accreditation of Prior and Experiential Learning),VÕTA (учет предыдущей учебы и предшествующего опыта работы)
Võta meiega ühendust,Contact us,Свяжитесь с нами
Õpetajad,Teachers,Учителя
Õpilasesindus,Student council,Ученическое представительство
Õpilaskodu,Boarding school,Общежитие для учеников
Õpilastööde vormistamine,Requirements for researchers,Оформление работ учеников
Õpiränne,Learning mobility,Учебная миграция
Õppenõukogu,Teachers’ Council,Педагогический совет
Õppesuunad,Subject fields,Направления обучения
Õppetöö,Studies,Занятия
Õppetöö kalender,Study calendar,Календарь занятий
Õppetöö korraldus,Study arrangement ,Организация занятий
Üldkontakt,General contact,Общий контакт
,,
Töökohad tulevikus,Future career,Будущие рабочие места
Rakenduskava,Implementation Act,Программа действий
Õppekava,Curriculum,Учебная программа
Õppeaasta algus,Academic year begins,Начало учебного года
Õppeaasta lõpp,Academic year ends,Kонец учебного года
Filtreeri,Filter ,Отфильтровать
Viimati muudetud,Last changed, Последние изменения
Veel uudiseid,More news,Больше новостей
Veel teenuseid,More services,Больше услуг
Nädalamenüü,Weekly menu,Меню на неделю
,,
,,
Täiendused eelnenud tõlgetele:,,
Huvitegevuse kalender,Xобби kалендарь / Календарь рекреационной деятельности ,"võib kasutada aga see pole päris korrektne, õigem see algne Календарь деятельности по интересам"
Sinu e-mail,Ваш адрес э-почты,veidi lühendatud võrreldes eelmisega
,,
Meie koolist ,About us,Из нашей школы
Vali kategooria,Select a category,Выберите категорию
Üldinfo,General information,Общая информация
Uudised,News,Новости